,video_id,title,transcript
17,5j9Syov0AAw,How do animals experience pain? - Robyn J. Crook,"Humans know the surprising
prick of a needle, the searing pain of a stubbed toe 
and the throbbing of a toothache. We can identify many types of pain 
and have multiple ways of treating it. But what about other species? How do the animals all around us 
experience pain? It’s important that we find out. We keep animals as pets,
they enrich our environment, we farm many species for food, and we use them in experiments to advance
science and human health. Animals are clearly important to us, so it’s equally important that we
avoid causing them unnecessary pain. For animals that are similar to us,
like mammals, it's often obvious when they're hurting. But there's a lot that isn't obvious, like whether pain relievers that
work on us also help them. And the more different
an animal is from us, the harder it is to understand
their experience. How do you tell whether a shrimp 
is in pain? A snake? A snail? In vertebrates— including humans— pain 
can be split into two distinct processes. In the first, nerves in the skin 
sense something harmful and communicate that information
to the spinal cord. There, motor neurons activate movements
that make us rapidly jerk away from the threat. This is the physical recognition of harm 
called nociception. And nearly all animals, even those
with very simple nervous systems, experience it. Without this ability, animals would be 
unable to avoid harm and their survival would be threatened. The second part is the conscious
recognition of harm. In humans, this occurs when the sensory
neurons in our skin make a second round of connections 
via the spinal cord to the brain. There, millions of neurons in multiple
regions create the sensations of pain. For us, this is a very complex experience
associated with emotions like fear, panic and stress, 
which we can communicate to others. But it’s harder to know exactly 
how animals experience this part the process, because most of them
can’t show us what they feel. However, we get clues from observing
how animals behave. Wild, hurt animals are known
to nurse their wounds, make noises to show their distress,
and become reclusive. in the lab, scientists have discovered 
that animals like chickens and rats will self-administer pain-reducing 
drugs if they’re hurting. Animals also avoid situations 
where they’ve been hurt before, which suggests awareness of threats. We’ve reached the point that
research has made us so sure that vertebrates recognize pain that it’s illegal in many countries
to needlessly harm these animals. But what about other types 
of animals, like invertebrates? These animals aren't legally protected, partly because their behaviors
are harder to read. We can make good guesses about some of
them, like oysters, worms and jellyfish. These are examples of animals 
that either lack a brain or have a very simple one. So an oyster may recoil when squirted
with lemon juice, for instance, because of nociception. But with such a simple nervous system, it’s unlikely to experience 
the conscious part of pain. Other invertebrate animals are 
more complicated, though. Like the octopus, 
which has a sophisticated brain and is thought to be one of the most 
intelligent invertebrate animals. Yet in many countries, people continue
the practice of eating live octopus. We also boil live crayfish,
shrimp, and crabs, even though we don't really know
how they're affected either. This poses an ethical problem, because we may be causing these
animals unnecessary suffering. Scientific experimentation, 
though controversial, gives us some clues. Tests on hermit crabs show that they’ll
leave an undesirable shell if they’re zapped with electricity. But stay if it’s a good shell. And octopi that might originally 
curl up an injured arm to protect it, will risk using it to catch prey. That suggests that these animals make
value judgments around sensory input, instead of just reacting
reflexively to harm. Meanwhile, crabs have been known
to repeatedly rub a spot on their bodies where they’ve received an electric shock. And even sea slugs flinch when they
know they’re about to receive a noxious stimulus. That means they have
some memory of physical sensations. We still have a lot to learn
about animal pain. As our knowledge grows, it may
one day allow us to live in a world where we don’t cause pain needlessly."
18,gBRcOLcEwF0,What’s so great about the Great Lakes? - Cheri Dobbs and Jennifer Gabrys,"What's so great about the Great Lakes? They're known as America's inland seas. The North American Great Lakes Huron, Ontario, Michigan, Erie, and Superior are so massive
that they border eight states and contain 23 quadrillion
liters of water. That's enough to cover the land area
of the contiguous United States three meters deep. These vast bodies of water span forest, grassland, and wetland habitats, supporting a region that's home to over
3,500 species. But how did such a vast and unique
geological feature come to be? The story begins near the end
of the last ice age over 10,000 years ago, a time when the climate was warming and the glaciers that cloaked the Earth's
surface began their slow retreat. These immense ice sheets carved out
a series of basins. Those basins filled with water
as the ice began to melt, creating the world's largest area
of freshwater lakes. Over time, channels developed between
these basins, and water began to flow in
an ongoing exchange that persists to this day. In fact, today,
the interconnected Great Lakes contain almost 20% of the world's supply
of fresh surface water. The water's journey begins in
the far north of Lake Superior, which is the deepest, coldest,
and clearest of the lakes, containing half the system's water. Lake Superior sinks to depths
of 406 meters, creating a unique and diverse ecosystem
that includes more that 80 fish species. A given drop of water spends on average
200 years in this lake before flowing into Lake Michigan
or Lake Huron. Linked by the Straits of Mackinac,
these two lakes are technically one. To the west lies Lake Michigan, the third largest of the lakes
by surface area. Water slowly moves through
its cul-de-sac shape and encounters the world's largest
freshwater dunes, many wildlife species, and unique fossilized coral. To the east is Lake Huron,
which has the longest shoreline. It's sparsely populated,
but heavily forested, including 7,000-year-old petrified trees. Below them, water continues to flow
southeastwards from Lake Huron into Lake Erie. This lake's status as the warmest
and shallowest of the five has ensured an abundance of animal life,
including millions of migrating birds. Finally, the water reaches its last stop
by dramatically plunging more than 50 meters down
the thundering Niagara Falls into Lake Ontario, the smallest lake
by surface area. From there, some of this well-traveled
water enters the St. Lawrence River, eventually reaching the Atlantic Ocean. In addition to being a natural wonder, the perpetually flowing Great Lakes
bring us multiple benefits. They provide natural water filtration, flood control, and nutrients cycling. By moving water across
more than 3,200 kilometers, the Great Lakes also provide drinking
water for upward of 40 million people and 212 billion liters a day
for the industries and farms that line their banks. But our dependence on the system is
having a range of negative impacts, too. The Great Lakes coastal habitats are being
degraded and increasingly populated, exposing the once pristine waters to industrial, urban,
and agricultural pollutants. Because less than 1% of the water
leaves the Lake's system annually, decades-old pollutants still lurk
in its waters. Humans have also inadvertently introduced more than 100 non-native
and invasive species into the lakes, such as zebra and quagga mussels,
and sea lampreys that have decimated some indigenous
fish populations. On a larger scale, climate change
is causing the waters to warm, thus reducing water levels and changing
the distribution of aquatic life. Luckily, in recent years, governments have
started to recognize the immense value of this natural resource. Partnerships between the United States and
Canada are underway to reduce pollution, protect coastal habitats, and halt the spread of invasive species. Protecting something as massive
as the Great Lakes system will require the collaboration
of many organizations, but the effort is critical if we can preserve the wonder
of this flowing inland sea."
19,QtJqBiF6EF0,Why do we kiss under mistletoe? - Carlos Reif,"The sight of mistletoe may either send
you scurrying or if you have your eye on someone, awaiting an opportunity
beneath its snow white berries. But how did the festive Christmas 
tradition of kissing under mistletoe come about? The long lived custom intertwines 
the mythology and biology of this intriguing plant. There are more than 1,000 species of
mistletoe which grows the world over. In fact, the ancient Europeans
were so captivated by the plant’s unusual growth habits 
that they included it in their legends and myths. In ancient Rome, Pliny the Elder 
described how the Druid priesthood in ancient England
believed that mistletoe was a plant dropped down from heaven 
by the gods; that explained its unlikely position 
amongst the high branches of certain trees. They also believed it had powers 
of healing and bestowing fertility. Meanwhile, Scandinavian legends told 
of the plant’s mystical qualities in the story of the god Baldur
and his adoring mother, Frigg, goddess of love, marriage and fertility. Frigg loved her son so much 
that she commanded every plant, animal and inanimate object to vow 
they’d never harm him. In her fervor, however, 
she overlooked the mistletoe. The mischievous god Loki realized 
this oversight, and pierced Baldur’s heart with an arrow 
carved from a mistletoe branch. Frigg cried tears of such
sadness that they formed the mistletoe’s pearly berries, making the other gods pity her 
and agree to resurrect Baldur. Hearing the news, Frigg became 
so overjoyed that she transformed the mistletoe from a symbol of death
into one of peace and love. She mandated a one day
truce for all fights and that everyone embraced beneath 
its branches when they passed to spread more love into the world. In the 17th century, British colonists 
arriving in the New World found a different but very similar looking
species of mistletoe. They applied it to these tales
of magic, fertility and love, spreading the mistletoe hanging tradition
from Europe into America. By the 18th century, people 
in Britain had turned this into a Christmas tradition. But this custom comes down to more 
than just human imagination. All of it was inspired
by the plant’s intriguing biology. We see mistletoe as a festive decoration,
but draped on tree boughs in the wild, it’s known as a partly parasitic plant. Mistletoe relies on modified roots
called haustoria that penetrate the tree bark 
and siphon off the water and minerals trees carry up their trunks. To colonize nearby trees with its seeds, mistletoe depends on birds 
and other creatures to do the dispersing. Birds that eat the mistletoe’s 
sticky white berries sometimes get rid of the gluey seeds
by wiping them off onto tree bark, or with a bit of luck, they excrete the indigestible seed
onto a tree where it germinates and starts to grow. With its resilience and foliage 
that stays lush even while the surrounding trees 
lose their leaves, you can see why mistletoe captivated
our superstitious ancestors. They saw these as signs of the plant’s
magical qualities and fertility. Even today, the mistletoe inspires wonder with the diversity of wildlife
it supports. More than just a parasite, 
it’s also known as a keystone species. It's eaten by a diversity of animals,
including deer, elk, squirrels, chipmunks, porcupines, robins, bluebirds, 
mourning doves, and the butterfly genus Delius. Some mistletoe species
produce dense bushes, which are excellent nesting locations
for a variety of birds. And despite their parasitic
relationship with trees, mistletoes can also help other plants. For instance, juniper sprouts 
near mistletoe to benefit from the visiting berry-eating birds. Through the many benefits it provides, mistletoe influences diversity 
and allows ecosystems to flourish. You might even say, 
that for this iconic plant, life imitates legend. In the wild, mistletoe has the power 
to bring things together. And in our own traditions 
we see that happening too."
20,GLllZ-qiXJA,Do we really need pesticides? - Fernan Pérez-Gálvez,"In 1845, Ireland's vast potato fields
were struck by an invasive fungal disease that rapidly infested this staple crop. The effect was devastating. One million people died of famine, and over a million more were forced
to leave Ireland. Nowadays, we avoid such agricultural
catastrophes with the help of pesticides. Those are a range of manmade chemicals
that control insects, unwanted weeds, funguses, rodents, and bacteria that may threaten our food supply. They've become an essential part
of our food system. As populations have grown,
monoculture, single crop farming, has helped us feed people efficiently. But it's also left our food
vulnerable to extensive attack by pests. In turn, we've become more dependent
on pesticides. Today, we annually shower over 5 billion
pounds of pesticides across the Earth to control these unwanted visitors. The battle against pests,
especially insects, has marked agriculture's long history. Records from thousands of years ago suggest that humans actively burned
some of their crops after harvest to rid them of pests. There's even evidence from ancient times
that we recruited other insects to help. In 300 A.D., Chinese farmers specially
bred ferocious predatory ants in orange orchards
to protect the trees from other bugs. Later, as large-scale farming spread, we began sprinkling arsenic, lead,
and copper treatments on crops. But these were incredibly toxic
to humans as well. As our demand for more, 
safer produce increased, so did the need for effective chemicals that could control pests
on a grander scale. This ushered in the era 
of chemical pesticides. In 1948, a Swiss chemist named
Paul Hermann Müller was awarded a Nobel Prize 
for his discovery of dichlorodiphenyltrichloroethane,
also known as DDT. This new molecule had unparalleled power
to control many insect species until the 1950s,
when insects became resistant to it. Worse, the chemical actually drove
dramatic declines in bird populations, poisoned water sources, and was eventually found to cause
long-term health problems in humans. By 1972, DDT had been banned
in the United States, and yet traces still linger
in the environment today. Since then, chemists have been searching
for alternatives. With each new wave of inventions,
they've encountered the same obstacle - rapid species evolution. As pesticides destroy pest populations, they leave behind 
only the most resistant individuals. They then pass on their 
pesticide-resisting genes to the next generation. That's lead to the rise of super bugs, such as the Colorado potato beetle, which is resistant to over 
50 different insecticides. Another downside is that other bugs
get caught in the crossfire. Some of these are helpful predators
of plant pests or vital pollinators, so erasing them from agriculture
wipes out their benefits, too. Pesticides have improved over time and are currently regulated by strict
safety standards, but they still have the potential
to pollute soil and water, impact wildlife, and even harm us. So considering all these risks,
why do we continue using pesticides? Although they're imperfect, they currently may be our best bet
against major agricultural disasters, not to mention mosquito-born diseases. Today, scientists are on a quest for
alternative pest control strategies that balance the demands
of food production with environmental concerns. Nature has become a major source
of inspiration, from natural plant and fungal chemicals
that can repel or attract insects, to recruiting other insects 
as crop bodyguards. We're also turning to high-tech solutions,
like drones. Programmed to fly over crops, these machines can use 
their sensors and GPS to carry out more targeted sprays that limit a pesticide's wider 
environmental impact. With a combination 
of biological understanding, environmental awareness, and improved technologies, we have a better chance of finding
a holistic solution to pests. Chemical pesticides may never shake
their controversial reputation, but with their help, we can ensure that 
agricultural catastrophes stay firmly in our past."
21,mQePz62zkqA,Why are there so many types of apples? - Theresa Doud,"Have you ever walked into a grocery store and wondered where all those variety
of apples came from? You might find SnapDragon, Pixie Crunch, Cosmic Crisp, Jazz, or Ambrosia next to the more familiar
Red Delicious and Granny Smith. These delightfully descriptive names belong to just a handful of the over
7,500 apple varieties in the world. This huge diversity exists largely because
of humanity's efforts to bear new fruit. Fruit breeding is a way to fulfill
the expectations of farmers and consumers who seek specific qualities in an apple. On the one hand, farmers may want them
to be disease-resistant and to store well. On the other, consumers are swayed
by appearance, taste, and novelty. So, breeders have to consider everything from how well apples grow
in certain climates to their color, taste, and size. And sometimes finding the perfect
fit means breeding something new. To create apples 
with desirable characteristics, breeders first need to find parent
apples that carry those characteristics. Once the parents have been selected, they have to wait until the trees
bloom in the spring. The breeder takes the pollen
from one bloom, called the father, and transfers it by hand to the other
parent bloom, called the mother, through a process 
called cross-pollination. Once the mother bloom 
turns into an apple, the seeds are collected and then planted. It takes about five years for these seeds
to grow into trees that produce apples, but because of the way 
traits are inherited, all of the seedlings produced will have
different sets of genes and characteristics. This means that to achieve 
a desired quality, it takes a lot of offspring, not to mention patience 
on the breeder's part. When a seedling does bear fruit
with the desired qualities, it's selected for further evaluation. Of the original crossed seedlings, about one in every 5,000 makes it
to this prestigious stage. They're then sent to new farms where breeders can assess how various
climates and soil types affect the plant's growth. The fruit of the seedling 
and its many clones must then be collected and sampled
to ensure consistency. Breeders study about 45 traits
in an apple, like the texture 
and firmness of the flesh, when it ripens, how sugary its juice is, and how long it stays fresh. Over several years, they weed out
all the bad apples, selecting only those 
whose fruits are the best. These exclusive plants 
officially form the cultivar, or new apple variety. To ensure an exact copy of this cultivar, all apple trees must be grafted 
from the original seedling. Branches, called scion wood, are cut from the original tree 
and grown to generate more scion wood. Segments of these trees are then grafted
onto root stalk - that's the lower section of another tree that's been chosen 
from a different cultivar for its superior roots 
and growing ability. Finally, this fusion creates 
a new apple tree with the desired qualities. Each new plant takes up to four years before it starts producing 
the fruit we eat. Apple breeding may be a difficult art,
but it's accessible to all: universities, companies, and even individuals can create
new cultivars. But to fully own an apple, the breeder
faces a final challenge - naming the fruit. After a cultivar is patented, a breeder chooses a name
for its trademark. That final step grants them long-lasting
rights over the apple and its clones. That name must be completely original, and the catchier, the better, of course. With over 7,500 varieties and counting, that's why we have apples called
Pink Lady, Sweet Tango, Kiku, and EverCrisp. The more we work with nature's bounty
to breed new cultivars, the more creative and delectable
these names will become."
22,gFzqqaBA9wQ,How smart are orangutans? - Lu Gao,"Fu Manchu was one of the most
notorious escape artists at the Omaha Zoo in the 1960s. But he wasn't a performer, he was an orangutan. The keepers who locked 
his enclosure every night were baffled to find him outside
the next day hanging out with friends in a tree, or sunning on the roof. Only after installing cameras 
did they realize Fu Manchu had been picking the lock with a metal wire that he kept hidden
under his cheek pouch. The keepers shouldn't have been
surprised at Fu Manchu's cunningness. Along with our other great ape cousins, the gorillas, chimps, and bonobos, they belong to our Hominidae
family tree, which stretches back 14 million years. But it's not just their striking red hair that makes orangutans unique 
among our cousins. As the only great apes from Asia, orangutans have adapted to a life
high in the rain forest canopies. Many of the skills they learn
are transmitted through the special bond they have with their mothers, the most extended in the animal kingdom
next to humans. Orangutan mothers usually give birth
to one baby at a time, waiting up to eight years before
having another. This gives the young, who begin as fully dependent infants, plenty of time to learn how to climb and distinguish the hundreds of plants
and fruits that make up their diet. Female orangutans even stay with
their mothers into their teen years to learn child-rearing. As they grow up, orangutans also develop
a complex set of cooperative social skills by interacting with their peers
and siblings. Much like ourselves, young orangutans involuntarily mimic
the facial expressions and emotions of their playmates, with behaviors that closely parallel
human smiling and laughter. Once they finally venture out 
on their own, orangutans continue to develop
their resourcefulness, putting the skills they've learned 
into practice. Adults build a new nest each night
by carefully weaving twigs together, topping them with soft leaves,
pillows, and blankets. This process requires dexterity,
coordination, and an eye for design. Orangutans also use a variety of tools
to make their lives in the jungle easier. They turn branches into fly swatters
and back scratchers, construct umbrellas when it rains, make gloves from leafy pads, and even use leaves as bandages
to dress their wounds. But orangutan intelligence goes far
beyond jungle survival. Research in controlled environments
has shown that orangutans are self-aware, being one of the few species to recognize
their own reflections. They also display remarkable foresight,
planning, and cognition. In one experiment, researchers taught
an orangutan to use a straw to extract his favorite fruit soup
from a box. That orangutan was later given the choice
between the straw or a grape that could be 
eaten right away, and he chose the straw just in case
he was given another box of soup. In another experiment, orangutans figured
out how to reach peanuts at the bottom of long tubes
by spitting water into them. While orangutans are able to pass
cognitive tests with flying colors, there are certain problems that they
need our help to solve. Indonesia has the world's highest rate
of deforestation, and millions of acres of rain forest 
are burned annually to support the logging 
and palm oil industries. Deforestation exposes the 30,000
orangutans remaining in the wild to poachers. They kill mothers so that baby orangutans
can be sold as exotic pets. But fortunately, the story often
doesn't end here. Orphans can be confiscated
and given a second chance. At special forest schools, they recover
from emotional trauma and continue to develop 
essential life skills. Against all odds, these orphans 
demonstrate incredible resilience and readiness to learn. In Malay, the word orangutan translates
literally to ""the person of the forest,"" a reminder of our common lineage. And despite orangutans being some
of the smartest animals on Earth, outsmarting their extinction requires
the creativity, empathy, and foresight that our species share."
23,t3CjTU7TaNA,How do animals see in the dark? - Anna Stöckl,"To human eyes, the world at night
is a formless canvas of grey. Many nocturnal animals, on the other hand, experience a rich and varied world
bursting with details, shapes, and colors. What is it, then, that separates moths
from men? Moths and many other nocturnal animals
see at night because their eyes are adapted 
to compensate for the lack of light. All eyes, whether nocturnal or not, depend on photoreceptors in the retina
to detect light particles, known as photons. Photoreceptors then report information
about these photons to other cells in the retina and brain. The brain sifts through that information
and uses it to build up an image of the environment the eye perceives. The brighter the light is,
the more photons hit the eye. On a sunny day, upwards of 100 million times 
more photons are available to the eye than on a cloudy, moonless night. Photons aren't just less numerous 
in darkness, but they also hit the eye 
in a less reliable way. This means the information 
that photoreceptors collect will vary over time, as will the quality of the image. In darkness, trying to detect the sparse
scattering of randomly arriving photons is too difficult for the eyes
of most daytime animals. But for night creatures, 
it's just a matter of adaptation. One of these adaptations is size. Take the tarsier, whose eyeballs
are each as big as its brain, giving it the biggest eyes compared 
to head size of all mammals. If humans had the same brain to eye ratio,
our eyes would be the size of grapefruits. The tarsier's enlarged orbs haven't 
evolved to make it cuter, however, but to gather as much light as possible. Bigger eyes can have larger openings,
called pupils, and larger lenses, allowing for more light to be focused
on the receptors. While tarsiers scan the nocturnal scene
with their enormous peepers, cats use gleaming eyes to do the same. Cats' eyes get their shine from
a structure called the tapetum lucidum that sits behind the photoreceptors. This structure is made from layers
of mirror-like cells containing crystals that send incoming light
bouncing back towards the photoreceptors and out of the eye. This results in an eerie glow, and it also gives the photoreceptors
a second chance to detect photons. In fact, this system has inspired the
artificial cats' eyes we use on our roads. Toads, on the other hand, have adapted
to take it slow. They can form an image even when just a single photon 
hits each photoreceptor per second. They accomplish this with photoreceptors that are more than 25 times slower 
than human ones. This means toads can collect photons
for up to four seconds, allowing them to gather many more
than our eyes do at each visual time interval. The downside is that this causes toads
to react very slowly because they're only receiving
an updated image every four seconds. Fortunately, they're accustomed
to targeting sluggish prey. Meanwhile, the night is also buzzing
with insects, such as hawk moths, which can see their favorite flowers
in color, even on a starlit night. They achieve this by a surprising move - getting rid of details 
in their visual perception. Information from neighboring
photoreceptors is grouped in their brains, so the photon catch of each group
is higher compared to individual receptors. However, grouping photoreceptors
loses details in the image, as fine details require a fine grid
of photoreceptors, each detecting photons from one
small point in space. The trick is to balance the need
for photons with the loss of detail to still find their flowers. Whether eyes are slow, enormous,
shiny, or coarse, it's the combination 
of these biological adaptations that gives nocturnal animals their unique
visual powers. Imagine what it might be like to witness
through their eyes the world that wakes up
when the Sun goes down."
24,FK9xHry877U,What is the biggest single-celled organism? - Murry Gans,"The elephant is a creature
of epic proportions, and yet it owes its enormity to more
than 1,000 trillion microscopic cells, and on the epically small end of things, there are likely millions 
of unicellular species, yet there are very few we can see
with the naked eye. Why is that? Why don't we get unicellular elephants, or blue whales, or brown bears? To find out, we have to peer into
a cell's guts. This is where most 
of the cell's functions occur, enclosed by a cellular membrane that acts as the doorway into 
and out of the cell. Any resources the cell needs to consume, or waste products it needs to expel, first have to pass through this membrane. But there's a biological quirk 
in this set up. A cell's surface and volume increase
at different rates. Cells come in many shapes, but imagining them as cubes will make
the math easy to calculate. A cube has six faces. These represent the cell membrane,
and make up its surface area. A cube measuring one micrometer
on each side, that's one millionth of a meter, would have a total surface area
of six square micrometers. And its volume would be 
one cubic micrometer. This would give us six units 
of surface area for every single unit of volume, a six to one ratio. But things change dramatically
if we make the cube ten times bigger, measuring ten micrometers on each side. This cell would have a surface area
of 600 square micrometers and a volume of one thousand
cubic micrometers, a ratio of only .6 to one. That's less than one unit of surface area
to service each unit of volume. As the cube grows, its volume increases
much faster than its surface area. The interior would overtake the membrane, leaving too little surface area for things
to quickly move in and out of the cell. A huge cell would back up with waste
and eventually die and disintegrate. There's another plus to having multitudes
of smaller cells, too. It's hardly a tragedy if one gets 
punctured, infected, or destroyed. Now, there are some 
exceptionally large cells that have adapted to cheat the system, like the body's longest cell, a neuron that stretches from the base
of the spine to the foot. To compensate for its length,
it's really thin, just a few micrometers in diameter. Another example can be found
in your small intestine, where structures called villi
fold up into little fingers. Each villus is made of cells with highly
folded membranes that have tiny bumps called microvilli
to increase their surface area. But what about single-celled organisms? Caulerpa taxifolia, a green algae
that can reach 30 centimeters long, is believed to be the largest 
single-celled organism in the world thanks to its unique biological hacks. Its surface area is enhanced with
a frond-like structure. It uses photosynthesis to assemble
its own food molecules and it's coenocytic. That means it's a single cell
with multiple nuclei, making it like a multicellular organism
but without the divisions between cells. Yet even the biggest unicellular organisms
have limits, and none grows nearly as large
as the elephant, whale, or bear. But within every big creature
are trillions of minuscule cells perfectly suited in all their tininess to keeping the Earth's giants 
lumbering along."
25,dO2xx-aeZ4w,How a single-celled organism almost wiped out life on Earth - Anusuya Willis,"There's an organism 
that changed the world. It caused both the first mass extinction
in Earth's history and also paved the way for complex life. How? By sending the first free oxygen
molecules into our atmosphere, and they did all this
as single-celled life forms. They're cyanobacteria, and the story of these simple organisms that don't even have nuclei 
or any other organelles is a pivotal chapter 
in the story of life on Earth. Earth's atmosphere wasn't always 
the oxygen-rich mixture we breathe today. 3.5 billion years ago, the atmosphere
was mostly nitrogen, carbon dioxide, and methane. Almost all oxygen was locked up 
in molecules like water, not floating around in the air. The oceans were populated by
anaerobic microbes. Those are simple, unicellular life forms
that thrive without oxygen and get energy by scavenging
what molecules they find. But somewhere between 
2.5 and 3.5 billion years ago, one of these microbial species, probably floating 
on the surface of the ocean, evolved a new ability: photosynthesis. Structures in their cell membrane
could harness the energy from sunlight to turn carbon dioxide and water
into oxygen gas and sugars, which they could use for energy. Those organisms were the ancestors
of what we now call cyanobacteria. Their bluish color comes from 
the blue-green pigments that capture the sunlight they need. Photosynthesis gave those ancient bacteria
a huge advantage over other species. They could now produce their own energy from an almost endless supply 
of raw ingredients, so their populations exploded and they started polluting the atmosphere
with a new waste product: oxygen. At first, the trickle of extra oxygen was
soaked up by chemical reactions with iron or decomposing cells, but after a few hundred million years, the cyanobacteria were producing oxygen
faster than it could be absorbed, and the gas started building up
in the atmosphere. That was a big problem for the rest
of Earth's inhabitants. Oxygen-rich air 
was actually toxic to them. The result? About 2.5 billion years ago was a mass
extinction of virtually all life on Earth, which barely spared the cyanobacteria. Geologists call this
the Great Oxygenation Event, or even the Oxygen Catastrophe. That wasn't the only problem. Methane had been acting as a potent
greenhouse gas that kept the Earth warm, but now, the extra oxygen reacted with
methane to form carbon dioxide and water, which don't trap as much heat. The thinner atmospheric blanket caused Earth's first, 
and possibly longest, ice age, the Huronian Glaciation. The planet was basically 
one giant snowball for several hundred million years. Eventually, life adjusted. Aerobic organisms, 
which can use oxygen for energy, started sopping up some of the excess
gas in the atmosphere. The oxygen concentration rose and fell until eventually it reached 
the approximate 21% we have today. And being able to use 
the chemical energy in oxygen gave organisms the boost they needed
to diversify and evolve more complex forms. Cyanobacteria had a part 
to play in that story, too. Hundreds of millions of years ago, some other prehistoric microbe
swallowed a cyanobacterium whole in a process called endosymbiosis. In doing so, that microbe acquired
its own internal photosynthesis factory. This was the ancestor of plant cells. And cyanobacteria became chloroplasts, the organelles that carry out 
photosynthesis today. Cyanobacteria are still around
in almost every environment on Earth: oceans, fresh water, soil, antarctic rocks, sloth fur. They still pump oxygen
into the atmosphere, and they also pull nitrogen out to
fertilize the plants they helped create. We wouldn't recognize life on Earth
without them. But also thanks to them, we almost didn't have 
life on Earth at all."
26,jzqnUvE66HA,How North America got its shape - Peter J. Haproff,"The geography of our planet is in flux. Each continent has ricocheted around
the globe on one or more tectonic plates, changing quite dramatically with time. Today, we'll focus on North America and how its familiar landscape
and features emerged over hundreds 
of millions of years. Our story begins about 
750 million years ago. As the super continent Rodinia
becomes unstable, it rifts along what's now the west coast
of North America to create the Panthalassa Ocean. You're seeing an ancestral continent
called Laurentia, which grows over the next few hundred
million years as island chains collide with it
and add land mass. We're now at 400 million years ago. Off today's east coast, the massive
African plate inches westward, closing the ancient Iapetus Ocean. It finally collides with Laurentia 
at 250 million years to form another supercontinent Pangea. The immense pressure causes
faulting and folding, stacking up rock to form 
the Appalachian Mountains. Let's fast forward a bit. About 100 million years later,
Pangea breaks apart, opening the Southern Atlantic Ocean between the new North American Plate
and the African Plate. We forge ahead, and now the eastward-moving 
Farallon Plate converges with the present-day west coast. The Farallon Plate's greater density
makes it sink beneath North America. This is called subduction, and it diffuses water into
the magma-filled mantle. That lowers the magma's melting point and makes it rise into the overlying
North American plate. From a subterranean chamber,
the magma travels upwards and erupts along a chain of volcanos. Magma still deep underground slowly cools, crystallizing to form solid rock, including the granite now found
in Yosemite National Park and the Sierra Nevada Mountains. We'll come back to that later. Now, it's 85 million years ago. The Farallon Plate becomes less steep, causing volcanism to stretch eastward
and eventually cease. As the Farallon Plate subducts, it compresses North America, thrusting up mountain ranges
like the Rockies, which extend over 3,000 miles. Soon after, the Eurasian Plate rifts
from North America, opening the North Atlantic Ocean. We'll fast forward again. The Colorado Plateau now uplifts, likely due to a combination
of upward mantle flow and a thickened North American Plate. In future millennia, the Colorado River
will eventually sculpt the plateau into the epic Grand Canyon. 30 million years ago, the majority of
the Farallon Plate sinks into the mantle, leaving behind only small corners 
still subducting. The Pacific 
and North American plates converge and a new boundary 
called the San Andreas Fault forms. Here, North America moves to the south, sliding against the Pacific Plate,
which shifts to the north. This plate boundary still exists today, and moves about 30 millimeters per year capable of causing 
devastating earthquakes. The San Andreas also pulls apart
western North America across a wide rift zone. This extensional region is called
the Basin and Range Province, and through uplift and erosion, is responsible for exposing the once deep
granite of Yosemite and the Sierra Nevada. Another 15 million years off the clock, and magma from the mantle burns
a giant hole into western North America, periodically erupting onto the surface. Today, this hotspot feeds 
an active supervolcano beneath Yellowstone National Park. It hasn't erupted 
in the last 174,000 years, but if it did, its sheer force could blanket
most of the continent with ash that would blacken the skies
and threaten humanity. The Yellowstone supervolcano
is just one reminder that the Earth continues 
to seethe below our feet. Its mobile plates put the planet
in a state of constant flux. In another few hundred million years, who knows how the landscape
of North America will have changed. As the continent slowly morphs
into something unfamiliar, only geological time will tell."
